frame,player_id,tacticam_bbox,broadcast_bbox
25,265,"[748, 384, 780, 446]","[1873, 588, 1920, 694]"
25,266,"[1142, 361, 1168, 415]","[1564, 493, 1597, 565]"
25,267,"[267, 740, 322, 809]","[1553, 708, 1612, 808]"
26,268,"[816, 565, 855, 631]","[1526, 705, 1599, 829]"
26,269,"[1320, 802, 1362, 876]","[676, 706, 732, 825]"
26,270,"[775, 253, 811, 303]","[1325, 475, 1380, 565]"
26,271,"[319, 409, 363, 462]","[990, 547, 1053, 639]"
26,272,"[708, 342, 746, 397]","[1612, 559, 1686, 663]"
26,273,"[708, 342, 746, 397]","[882, 594, 929, 708]"
26,274,"[270, 737, 317, 806]","[1539, 444, 1587, 521]"
26,275,"[814, 157, 839, 202]","[1646, 451, 1685, 534]"
26,276,"[1107, 481, 1137, 541]","[1556, 492, 1597, 588]"
26,277,"[434, 205, 460, 260]","[900, 549, 945, 633]"
26,278,"[746, 385, 784, 445]","[1882, 589, 1920, 694]"
26,279,"[1707, 334, 1733, 396]","[248, 510, 288, 613]"
27,280,"[814, 563, 859, 630]","[1524, 702, 1592, 829]"
27,281,"[1143, 359, 1174, 415]","[881, 595, 935, 705]"
27,282,"[273, 733, 312, 804]","[675, 705, 731, 823]"
27,283,"[1666, 468, 1705, 530]","[1640, 452, 1678, 534]"
27,284,"[336, 364, 386, 414]","[1326, 473, 1387, 564]"
27,285,"[324, 400, 368, 461]","[993, 546, 1057, 639]"
27,286,"[324, 400, 368, 461]","[1541, 445, 1584, 518]"
27,287,"[977, 158, 1009, 203]","[1611, 560, 1676, 663]"
27,288,"[438, 207, 466, 261]","[905, 546, 951, 635]"
27,289,"[1143, 359, 1174, 415]","[1548, 492, 1601, 586]"
27,290,"[273, 733, 312, 804]","[259, 510, 299, 613]"
27,291,"[747, 387, 787, 444]","[1885, 588, 1920, 693]"
28,292,"[811, 562, 859, 624]","[1521, 700, 1596, 828]"
28,293,"[337, 364, 387, 411]","[1323, 473, 1393, 559]"
28,294,"[585, 118, 619, 160]","[1630, 451, 1684, 534]"
28,295,"[274, 731, 306, 801]","[677, 704, 727, 825]"
28,296,"[1139, 361, 1177, 416]","[879, 591, 939, 700]"
28,297,"[329, 401, 368, 456]","[997, 542, 1057, 637]"
28,298,"[716, 345, 750, 399]","[909, 544, 959, 636]"
28,299,"[716, 345, 750, 399]","[1536, 492, 1604, 581]"
28,300,"[716, 345, 750, 399]","[1605, 560, 1659, 664]"
28,301,"[1492, 242, 1519, 291]","[1546, 447, 1583, 509]"
28,302,"[751, 388, 787, 446]","[1891, 587, 1920, 693]"
28,303,"[1693, 335, 1734, 398]","[270, 510, 310, 614]"
29,304,"[811, 562, 856, 622]","[1522, 698, 1597, 819]"
29,305,"[338, 365, 382, 410]","[1321, 473, 1397, 560]"
29,306,"[811, 562, 856, 622]","[998, 539, 1063, 634]"
29,307,"[446, 207, 474, 263]","[1608, 558, 1658, 664]"
29,308,"[1325, 794, 1366, 870]","[678, 701, 725, 824]"
29,309,"[338, 365, 382, 410]","[868, 592, 940, 699]"
